method,true_ratio,estimated_ratio,episodes,success_rate,final_error_mean,final_error_std,tracking_error_mean,saturations_mean,effort_mean,margin_mean,branch_switches_mean
mean_gain,4.0,1.0,160.0,0.2875,0.11848698803060217,0.08284116630428034,0.222170871888749,19.1875,43.91588603260443,0.2478280650742591,0.05625
nominal_branch,4.0,1.0,160.0,0.48125,0.09762756735230001,0.08576454966872973,0.17492742276273449,13.45625,28.814286972419865,0.3611560963444911,0.88125
nominal_fixed,4.0,1.0,160.0,0.2875,0.11989897101666647,0.08359694719129526,0.22592220239156852,17.6875,43.32257033308959,0.25297746683496714,0.0
signed_cone_policy,4.0,1.0,160.0,0.28125,0.12035034844025323,0.08349801896137224,0.22332249496249895,17.69375,43.29898527689526,0.25167358526509137,0.075
signed_fixed,4.0,1.0,160.0,0.2875,0.11970905022009917,0.08367875457521078,0.22484782407120116,17.69375,43.37530762182372,0.2508004652912462,0.0
symmetric_derating,4.0,1.0,160.0,0.28125,0.12041593583634622,0.08361064473641065,0.22322026610307413,17.6,43.44675785776675,0.25208341386922006,0.08125
mean_gain,4.0,1.5,160.0,0.525,0.09349255771158924,0.08241218189163635,0.18746934549574995,23.48125,40.11606108978939,0.25456572144720435,0.4
nominal_branch,4.0,1.5,160.0,0.48125,0.09762756735230001,0.08576454966872973,0.17492742276273449,13.45625,28.814286972419865,0.3611560963444911,0.88125
nominal_fixed,4.0,1.5,160.0,0.2875,0.11989897101666647,0.08359694719129526,0.22592220239156852,17.6875,43.32257033308959,0.25297746683496714,0.0
signed_cone_policy,4.0,1.5,160.0,0.66875,0.07609018091456198,0.07042783383194098,0.13656575904241436,24.5375,36.40046462988797,0.30748322929758565,0.3875
signed_fixed,4.0,1.5,160.0,0.46875,0.09820797685634589,0.082840313602227,0.20492981483815606,38.9,52.404529061382995,0.1795055854423429,0.0
symmetric_derating,4.0,1.5,160.0,0.45625,0.10193106264342044,0.08842419719459974,0.20443199592001743,38.475,51.74941410024818,0.19369495708790424,0.175
mean_gain,4.0,2.0,160.0,0.76875,0.06919843311580681,0.07304979576162413,0.14747304901688404,14.55625,27.44518645236807,0.3099546257367639,0.90625
nominal_branch,4.0,2.0,160.0,0.48125,0.09762756735230001,0.08576454966872973,0.17492742276273449,13.45625,28.814286972419865,0.3611560963444911,0.88125
nominal_fixed,4.0,2.0,160.0,0.2875,0.11989897101666647,0.08359694719129526,0.22592220239156852,17.6875,43.32257033308959,0.25297746683496714,0.0
signed_cone_policy,4.0,2.0,160.0,0.84375,0.06644134164912341,0.07331780163773217,0.08060338215696665,14.60625,23.360973956201555,0.37654965223113435,0.96875
signed_fixed,4.0,2.0,160.0,0.54375,0.09414161947381605,0.08507643971884163,0.2020698772540918,45.86875,56.05142092281032,0.14017696178838476,0.0
symmetric_derating,4.0,2.0,160.0,0.725,0.0794113350946629,0.08235779977681411,0.17725475167472887,30.6,39.05343699972857,0.2592632139637252,0.7
mean_gain,4.0,3.0,160.0,0.8375,0.06564388028270976,0.07320726090271513,0.15646078776609068,13.96875,26.291141826147225,0.27771295317425854,1.1
nominal_branch,4.0,3.0,160.0,0.48125,0.09762756735230001,0.08576454966872973,0.17492742276273449,13.45625,28.814286972419865,0.3611560963444911,0.88125
nominal_fixed,4.0,3.0,160.0,0.2875,0.11989897101666647,0.08359694719129526,0.22592220239156852,17.6875,43.32257033308959,0.25297746683496714,0.0
signed_cone_policy,4.0,3.0,160.0,0.8625,0.06579020042849246,0.072939835083989,0.07165532450299268,16.3,23.67008271164166,0.35410388022750217,1.10625
signed_fixed,4.0,3.0,160.0,0.6125,0.09232968544610917,0.08735206128983253,0.20159318800765075,52.63125,59.564660185828416,0.10108409851506603,0.0
symmetric_derating,4.0,3.0,160.0,0.74375,0.07395265498887528,0.07293079531837422,0.20294064692345196,29.63125,34.610331687323956,0.3413402067287333,1.075
mean_gain,4.0,4.0,160.0,0.84375,0.06471115881637224,0.06962187539198995,0.16444143815702966,0.0,26.691799534513386,0.25299002127723186,1.1375
nominal_branch,4.0,4.0,160.0,0.48125,0.09762756735230001,0.08576454966872973,0.17492742276273449,0.0,28.814286972419865,0.3611560963444911,0.88125
nominal_fixed,4.0,4.0,160.0,0.2875,0.11989897101666647,0.08359694719129526,0.22592220239156852,0.0,43.32257033308959,0.25297746683496714,0.0
signed_cone_policy,4.0,4.0,160.0,0.8625,0.0660203351965092,0.0749216993140296,0.06974809257405254,0.0,24.01882443092891,0.34026292997211716,1.2125
signed_fixed,4.0,4.0,160.0,0.625,0.09198943668274004,0.08817986923437297,0.20183874282091888,0.0,61.19533007137778,0.085185443511009,0.0
symmetric_derating,4.0,4.0,160.0,0.54375,0.10864067427729407,0.09656684719598482,0.24265140696489143,0.0,35.69812229391906,0.3650148501495357,1.1625
