calibration_bias,method,n,success_mean,success_ci95,final_error_mean,tracking_error_mean,saturations_mean,effort_mean,margin_mean,branch_switches_mean,regret_error_mean
assume_symmetry,adaptive_scmp,400,0.595,0.048107420425543494,0.0945133513221596,0.14360365711149112,8.635,26.162920076317842,0.41143109835755,0.0275,0.0
assume_symmetry,guarded_scmp,400,0.5275,0.048925831367489306,0.09733617835104737,0.1563231221383339,10.3975,28.526581245507643,0.3839408643904729,0.025,0.0
assume_symmetry,mean_gain,400,0.5675,0.0485514343248477,0.09476399793224291,0.1502396664813639,10.6275,28.263931384699454,0.3923943072023245,0.0175,0.0
assume_symmetry,robust_scmp,400,0.575,0.04844561383654871,0.09052069436442864,0.1532994710285177,15.1225,31.760003159861466,0.340414537636668,0.0525,0.0
assume_symmetry,scmp_estimated,400,0.585,0.04828675905463112,0.09380494188657197,0.14201607691816617,9.3075,27.34835275274734,0.39052956429156876,0.02,0.0
assume_symmetry,scmp_true,400,0.91,0.028045812521658196,0.05458090126252852,0.05688904573574833,0.0,20.007612268182854,0.3801888050383998,0.68,0.0
assume_symmetry,signed_fixed,400,0.59,0.048199663899243114,0.08627030100745302,0.13999177861579892,9.75,26.59663583721246,0.39188080678447235,0.0,0.0
assume_symmetry,symmetric_derating,400,0.605,0.04790736790933102,0.09089454440816132,0.13723195282359266,8.44,26.374918342263037,0.4043669645967697,0.02,0.0
overestimate,adaptive_scmp,400,0.85,0.03499299929985997,0.0671749117293999,0.07619912736309233,1.5325,20.027802388305226,0.398844486899872,0.5575,0.0
overestimate,guarded_scmp,400,0.64,0.04704,0.10155819686310316,0.15522196423290835,2.265,22.63329855863961,0.4431958468673853,0.7625,0.0
overestimate,mean_gain,400,0.8575,0.03425709816957647,0.06187434805102084,0.17008254191455954,2.155,22.341672092655145,0.2801615983073888,0.74,0.0
overestimate,robust_scmp,400,0.8475,0.035231477048230604,0.06445348135690904,0.09407866082224885,1.315,19.258794728762332,0.3854310457983956,0.595,0.0
overestimate,scmp_estimated,400,0.8825,0.031557483660773725,0.05999120966675546,0.06030529432246297,1.2475,17.532010635778928,0.4175328509310598,0.4925,0.0
overestimate,scmp_true,400,0.91,0.028045812521658196,0.05337851247073949,0.05983658391602864,0.0,21.266531134426415,0.37333872254122275,0.655,0.0
overestimate,signed_fixed,400,0.725,0.043758399193754786,0.07964546538613095,0.12832952154297061,1.865,33.230563477370595,0.31884013336714095,0.0,0.0
overestimate,symmetric_derating,400,0.3575,0.04696784831137147,0.14990791673114467,0.25778683621680626,1.9775,26.84128237850139,0.4703477353102419,0.9975,0.0
unbiased,adaptive_scmp,400,0.86,0.03400472908287904,0.07113198390499063,0.07207183594569229,7.99,21.673266579607933,0.37933914589870604,0.5775,0.0
unbiased,guarded_scmp,400,0.695,0.04511992796980066,0.08365765994296483,0.14135774213009333,10.6375,26.677355200825087,0.39886096381736974,0.8925,0.0
unbiased,mean_gain,400,0.875,0.03241045356054124,0.05690374010836715,0.16384132643266455,5.4825,22.952097070944742,0.2840903244304826,0.7225,0.0
unbiased,robust_scmp,400,0.8525,0.03475115789437813,0.06354885193637423,0.09582502468463013,2.2425,22.073365899346776,0.3513142028866968,0.595,0.0
unbiased,scmp_estimated,400,0.85,0.03499299929985997,0.06485685865828966,0.07249915274007793,6.8975,22.01952939312664,0.3750874495371673,0.545,0.0
unbiased,scmp_true,400,0.9175,0.026962247217173874,0.058713499354451956,0.06298826535911344,0.0,21.946440897701088,0.3534697155484397,0.6825,0.0
unbiased,signed_fixed,400,0.745,0.04271439921150712,0.08218772076397635,0.12563962330879871,14.745,36.15872545643664,0.2793024147223968,0.0,0.0
unbiased,symmetric_derating,400,0.49,0.048990199019803955,0.11489943948427768,0.23400659081417038,15.09,34.152795002479955,0.38567483571598915,1.46,0.0
underestimate,adaptive_scmp,400,0.88,0.031846230546172964,0.05913444392752163,0.06917476507770576,13.415,21.595161345566304,0.38085033361268344,0.5775,0.0
underestimate,guarded_scmp,400,0.7675,0.0413977508447017,0.06998195588420193,0.12521959186890186,19.01,26.50354224458131,0.39331599178643584,1.14,0.0
underestimate,mean_gain,400,0.8575,0.03425709816957647,0.061300222429036995,0.148617203888147,10.3,22.05136613863532,0.3116454276147547,0.8,0.0
underestimate,robust_scmp,400,0.875,0.03241045356054124,0.060371141862207926,0.0863953792357573,11.8025,21.375723113718045,0.35772374880030383,0.5575,0.0
underestimate,scmp_estimated,400,0.865,0.03348891010468988,0.05837352424850378,0.07042398676347837,12.32,21.340081102619564,0.39082169850162857,0.5425,0.0
underestimate,scmp_true,400,0.8925,0.030355292372171286,0.0625336701468408,0.05911978486434512,0.0,21.78984938593479,0.3754028648180248,0.6825,0.0
underestimate,signed_fixed,400,0.7625,0.04170400909984554,0.07288790129630035,0.12484210346926751,29.1,36.83044789730089,0.2754657793127409,0.0,0.0
underestimate,symmetric_derating,400,0.7175,0.044121092178231486,0.07698906581008093,0.19496709186177866,27.925,34.01358996577237,0.3689062206831931,1.62,0.0
