method,ratio,episodes,success_rate,final_error_mean,final_error_std,tracking_error_mean,saturations_mean,effort_mean,margin_mean,branch_switches_mean
mean_gain,1.0,160.0,0.9875,0.04730142631299204,0.04707241558002081,0.00577313141782627,0.0,6.211028073520686,0.5986831125585148,0.00625
nominal_branch,1.0,160.0,0.9875,0.049084517891952936,0.060689515766180466,0.007177191193026152,0.0,5.540062086589518,0.6172663617098062,0.7125
nominal_fixed,1.0,160.0,1.0,0.04229517858243521,0.0014739615415982124,0.007565975321442255,0.0,5.339899003862728,0.6221764340431687,0.0
signed_cone_policy,1.0,160.0,0.9875,0.046997763535014406,0.04275829282193504,0.00012286101923269195,0.0,6.287874253159127,0.5930321896102525,0.0375
signed_fixed,1.0,160.0,1.0,0.04231387657141635,0.001660397863202279,0.0008361617742387343,0.0,6.081680614643348,0.5950399728959038,0.0
symmetric_derating,1.0,160.0,1.0,0.04228117250956022,0.00160239386976527,0.0003745117262040275,0.0,5.346001960759589,0.6084945270991368,0.0375
mean_gain,1.5,160.0,1.0,0.04253210997467714,0.001496326002961511,0.047534307984248715,0.0,9.870952947873,0.5068047067660725,0.53125
nominal_branch,1.5,160.0,0.99375,0.045816410391282994,0.040019258055085306,0.07010613479508469,0.0,7.746538608921557,0.5893221464732366,0.96875
nominal_fixed,1.5,160.0,0.96875,0.05608041108440791,0.07364687240155286,0.09045796191467151,0.0,11.74770932841325,0.5500105064294255,0.0
signed_cone_policy,1.5,160.0,0.975,0.05174661941690265,0.060778670605337856,0.0023735082802776144,0.0,11.795046830004214,0.45646991825050465,0.525
signed_fixed,1.5,160.0,0.98125,0.05259263879185068,0.07542036622208753,0.014154132909378243,0.0,15.34271584641083,0.3815217226932749,0.0
symmetric_derating,1.5,160.0,0.98125,0.04982531129481703,0.05575014155502076,0.007832111009909824,0.0,13.758465146963218,0.3978449896188674,0.2375
mean_gain,2.0,160.0,0.98125,0.051449073662580405,0.06401660372787943,0.08523058475332357,0.0,14.719940253244129,0.4118566125048392,1.09375
nominal_branch,2.0,160.0,1.0,0.043276994483016536,0.0012886081797588557,0.09876692206948934,0.0,10.912369032359518,0.5599847630082884,1.05625
nominal_fixed,2.0,160.0,1.0,0.04344782540088381,0.0012630452310229245,0.13212738858924733,0.0,15.778786694165486,0.517793425737843,0.0
signed_cone_policy,2.0,160.0,1.0,0.04217437731515641,0.0016890540547563851,0.01351078017534268,0.0,12.028417958111328,0.44417057251210484,1.04375
signed_fixed,2.0,160.0,0.975,0.0530457780455999,0.07027412023490569,0.05525378709863853,0.0,23.68019969900361,0.2685446256270809,0.0
symmetric_derating,2.0,160.0,0.99375,0.04384419237265556,0.021715707350224656,0.06196802974766935,0.0,17.44000737370434,0.3716660544460372,0.875
mean_gain,3.0,160.0,0.94375,0.05521600439622407,0.06501795106311319,0.1368890077603556,0.0,22.238253579617982,0.31459460564488106,1.10625
nominal_branch,3.0,160.0,0.78125,0.056358273668088696,0.03158473088165255,0.14142241648864337,0.0,19.79578539673826,0.4672929247426543,0.825
nominal_fixed,3.0,160.0,0.55625,0.07904363552451399,0.06843945470832564,0.18915193045242817,0.0,31.08061562364943,0.38073431471685754,0.0
signed_cone_policy,3.0,160.0,0.9875,0.042601293442377494,0.0037062353206150033,0.052458244535945275,0.0,19.914668836932485,0.35038422069884023,1.1875
signed_fixed,3.0,160.0,0.925,0.04974183732586573,0.0336757040536767,0.14298533245690706,0.0,43.11265135555982,0.131595835159482,0.0
symmetric_derating,3.0,160.0,0.9125,0.049624355531623976,0.034951815964413824,0.1561961928784657,0.0,26.29210174473991,0.3542700132566573,1.125
mean_gain,4.0,160.0,0.86875,0.06056952937453255,0.06971194665437015,0.16366758699105904,0.0,27.85174483438548,0.2651559968463292,1.15
nominal_branch,4.0,160.0,0.5,0.09971260806236691,0.09007693275035039,0.17716951094148742,0.0,29.131895957554114,0.368611365980822,1.0
nominal_fixed,4.0,160.0,0.33125,0.12260325132648689,0.09758076015882759,0.22064810848200112,0.0,38.925061053466514,0.296573645404965,0.0
signed_cone_policy,4.0,160.0,0.90625,0.05461888625383051,0.04499821571504332,0.07316689080173391,0.0,25.229960461444286,0.3352803987666512,1.24375
signed_fixed,4.0,160.0,0.6125,0.09211217616025037,0.08221729812537645,0.19239933620432378,0.0,56.27372705023265,0.09649068554084804,0.0
symmetric_derating,4.0,160.0,0.54375,0.10740691772594546,0.09060139681680167,0.2378655176480545,0.0,41.92565400802361,0.28044115653414564,1.0625
